Phylum,Class,Species,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB
Mollusca,Gastropoda,Alderia_modesta,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Annelida,Polychaeta,Alitta_succinea,0,0,0,0,0,0,0,0,0,0,3,0,11,123,43,171,157
Annelida,Polychaeta,Alitta_virens,63,69,73,1161,35,44,33,90,1044,25,0,140,83,2,77,56,25
Bryozoa,Gymnolaemata,Amathia_gracilis,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0
Bryozoa,Gymnolaemata,Amathia_tertia,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Mollusca,Bivalvia,Ameritella_agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Arthropoda,Thecostraca,Amphibalanus_improvisus,0,0,0,0,0,0,0,0,0,0,0,17,2,2380,502,2108,8923
Annelida,Clitellata,Amphichaeta_sannio,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,135,0
Echinodermata,Ophiuroidea,Amphipholis_squamata,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Amphitrite_figulus,1209,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Mollusca,Gastropoda,Ancylus_fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Arenicola_marina,10,10,0,0,0,66,0,0,187,0,0,0,0,0,0,0,0
Chordata,Ascidiacea,Ascidia_ahodori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Echinodermata,Asteroidea,Asterias_forbesi,0,10,0,50,0,0,0,0,256,16,3,0,0,0,0,0,0
Echinodermata,Asteroidea,Asterias_rubens,19,67,0,26,0,0,0,8184,130,16,0,0,0,0,0,0,0
Platyhelminthes,Rhabditophora,Astrotorhynchus_hakaiensis,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Astyris_lunata,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
Cnidaria,Scyphozoa,Aurelia_aurita,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Cnidaria,Scyphozoa,Aurelia_labiata,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Arthropoda,Thecostraca,Balanus_crenatus,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Arthropoda,Thecostraca,Balanus_glandula,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Bittiolum_varium,0,0,211,0,0,0,637,0,0,0,0,0,52,0,0,12,6
Mollusca,Gastropoda,Boonea_cf._bisuturalis_BOLD:ABW1340,0,0,6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chordata,Ascidiacea,Botrylloides_violaceus,0,0,0,46,0,0,12,0,0,0,0,10,9,0,3,0,0
Cnidaria,Hydrozoa,Bougainvillia_muscus,0,12,90,91,18,0,0,0,466,0,22032,14,3,0,0,41,0
Arthropoda,Malacostraca,Calliopius_laeviusculus,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Calycella_syringa,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Arthropoda,Malacostraca,Cancer_borealis,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Cancer_irroratus,0,31,0,0,0,93,0,0,183,0,0,5,0,0,0,0,0
Annelida,Polychaeta,Capitella_capitata,0,0,60,13,0,0,0,0,0,0,10,0,37,0,74,0,0
Annelida,Polychaeta,Capitella_teleta,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0
Arthropoda,Malacostraca,Caprella_penantis,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Carcinus_maenas,56,338,28,107,22,280,88,0,405,14,2,127,47,3,175,1038,0
Mollusca,Gastropoda,Catriona_gymnota,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0
Nemertea,Pilidiophora,Cerebratulus_lacteus,0,30,0,0,0,0,0,0,102,0,0,0,0,0,0,10,0
Annelida,Clitellata,Chamaedrilus_sphagnetorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Cnidaria,Hydrozoa,Clava_multicornis,61,23,53,0,0,0,14,0,665,0,0,0,0,0,0,0,0
Porifera,Demospongiae,Cliona_celata,0,0,0,15,0,0,0,0,0,0,0,515,0,0,0,0,0
Annelida,Clitellata,Clitellio_arenarius,0,0,0,0,0,0,12,0,10,0,0,0,5,0,0,0,0
Annelida,Clitellata,Clitellio_sp._BOLD:AAG8543,0,10,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0
Annelida,Polychaeta,Clymenella_torquata,14,0,0,0,0,44,0,0,115,0,0,172,0,0,0,0,0
Cnidaria,Hydrozoa,Clytia_hemisphaerica,12,0,0,36,0,0,0,0,11,0,0,0,0,0,0,0,0
Bryozoa,Gymnolaemata,Conopeum_tenuissimum,0,0,0,0,0,0,0,0,0,0,0,0,42,36,0,0,49
Mollusca,Gastropoda,Coryphella_verrucosa,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Arthropoda,Malacostraca,Crangon_septemspinosa,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,122,0
Mollusca,Bivalvia,Crassostrea_virginica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34
Cnidaria,Staurozoa,Craterolophus_convolvulus,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Crepidula_convexa,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Mollusca,Gastropoda,Crepidula_fornicata,0,0,0,0,0,0,0,0,0,77,0,19,0,0,3,0,0
Mollusca,Gastropoda,Crepidula_plana,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Bryozoa,Gymnolaemata,Crisularia_turrita,0,0,10,0,0,0,0,0,0,0,2,9,0,0,0,0,0
Cnidaria,Scyphozoa,Cyanea_capillata,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Cyclocanna_producta,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
