#,Per phyla,Phylum,Class,Species,Total reads,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB,Decision,Removal Justification
1,1,Annelida,Clitellata,Amphichaeta_sannio,150,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,135,0,,
2,2,Annelida,Clitellata,Clitellio_arenarius,27,0,0,0,0,0,0,12,0,10,0,0,0,5,0,0,0,0,,
3,3,Annelida,Clitellata,Clitellio_sp._BOLD:AAG8543,51,0,10,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0,,
4,4,Annelida,Clitellata,Lumbricillus_lineatus,532,0,0,0,0,0,0,0,0,525,0,0,7,0,0,0,0,0,,
5,5,Annelida,Clitellata,Lumbricillus_rivalis,62,53,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
6,6,Annelida,Clitellata,Paranais_botniensis,170,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,164,0,,
7,7,Annelida,Clitellata,Paranais_litoralis,616,0,0,0,0,0,0,44,0,37,0,0,142,127,0,4,253,9,,
8,8,Annelida,Clitellata,Tubificoides_benedii,380,0,22,0,0,0,0,29,0,129,0,0,112,85,0,3,0,0,,
9,9,Annelida,Polychaeta,Alitta_succinea,508,0,0,0,0,0,0,0,0,0,0,3,0,11,123,43,171,157,,
10,10,Annelida,Polychaeta,Alitta_virens,3020,63,69,73,1161,35,44,33,90,1044,25,0,140,83,2,77,56,25,,
11,11,Annelida,Polychaeta,Amphitrite_figulus,1247,1209,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,
12,12,Annelida,Polychaeta,Arenicola_marina,273,10,10,0,0,0,66,0,0,187,0,0,0,0,0,0,0,0,,
13,13,Annelida,Polychaeta,Capitella_capitata,194,0,0,60,13,0,0,0,0,0,0,10,0,37,0,74,0,0,,
14,14,Annelida,Polychaeta,Capitella_teleta,52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,,
15,15,Annelida,Polychaeta,Clymenella_torquata,345,14,0,0,0,0,44,0,0,115,0,0,172,0,0,0,0,0,,
16,16,Annelida,Polychaeta,Dinophilus_gardineri,52,0,0,0,0,0,0,0,0,0,0,0,35,17,0,0,0,0,,
17,17,Annelida,Polychaeta,Dodecaceria_concharum,377,95,30,0,83,0,0,0,0,169,0,0,0,0,0,0,0,0,,
18,18,Annelida,Polychaeta,Glycera_dibranchiata,715,0,0,0,34,0,0,0,0,668,0,0,0,0,0,0,8,5,,
19,19,Annelida,Polychaeta,Harmothoe_imbricata,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,,
20,20,Annelida,Polychaeta,Hediste_diversicolor,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,
21,21,Annelida,Polychaeta,Hypereteone_heteropoda,1010,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,81,0,,
22,22,Annelida,Polychaeta,Lepidonotus_squamatus_CMC02,286,0,19,0,11,0,0,0,242,10,0,0,4,0,0,0,0,0,,
23,23,Annelida,Polychaeta,Marenzelleria_viridis,2001,524,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1447,3,,
24,24,Annelida,Polychaeta,Nicolea_zostericola,1754,120,79,0,56,0,34,0,0,171,0,0,1294,0,0,0,0,0,,
25,25,Annelida,Polychaeta,Ninoe_nigripes,687,50,0,0,279,0,0,0,0,352,0,0,0,0,0,0,6,0,,
26,26,Annelida,Polychaeta,Parasabella_microphthalma,52,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,,
27,27,Annelida,Polychaeta,Pectinaria_gouldii,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,,
28,28,Annelida,Polychaeta,Pherusa_affinis,612,0,15,0,0,13,0,0,0,35,0,0,545,4,0,0,0,0,,
29,29,Annelida,Polychaeta,Pholoe_minuta,23,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,
30,30,Annelida,Polychaeta,Polycirrus_eximius,981,0,0,0,0,0,0,0,0,27,110,0,844,0,0,0,0,0,,
31,31,Annelida,Polychaeta,Polydora_cornuta,41658,6693,2501,3403,0,85,4026,590,2225,3216,3220,107,2081,9710,1419,2220,162,0,,
32,32,Annelida,Polychaeta,Polydora_onagawaensis,333,0,0,0,16,191,0,0,0,126,0,0,0,0,0,0,0,0,,
33,33,Annelida,Polychaeta,Polygordius_jouinae,672,315,0,0,0,0,0,0,23,334,0,0,0,0,0,0,0,0,,
34,34,Annelida,Polychaeta,Pseudopolydora_paucibranchiata,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,35,Annelida,Polychaeta,Schistomeringos_longicornis,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,36,Annelida,Polychaeta,Leitoscoloplos acutus ,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genus change from Scoloplos,
37,37,Annelida,Polychaeta,Streblospio_benedicti,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,,
38,1,Arthropoda,Malacostraca,Calliopius_laeviusculus,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,,
