Site,Latitude,Longitude,Code,Date,CollectedBy
Wreck Cove,44.60293333,-63.51615,WRK,25-Jul-19,"Nick Jeffery, Ryan Stanley, Shawn Roach"
Conrod Beach,44.70122,-63.17831,CON,29-Jul-19,"Nick Jeffery, Ryan Stanley"
Taylor Head East,44.8098,-62.5602,TAE,30-Jul-19,"Nick Jeffery, Ryan Stanley"
Taylor Head West,44.82073,-62.57232,TAW,12-Aug-19,"Nick Jeffery, Ryan Stanley"
Moosehead,44.9415,-62.2655,MOS,13-Aug-19,"Nick Jeffery, Ryan Stanley"
Fifty Acre Island,44.39216,-64.26281,FAI,14-Aug-19,"Nick Jeffery, Ryan Stanley"
Pleasant Point,44.69287,-63.06964,PLS,26-Aug-19,"Nick Jeffery, Ryan Stanley"
Rose Bay,44.28634,-64.28413,RSE,28-Aug-19,"Nick Jeffery, Ryan Stanley"
Cable Island,44.74451,-62.79285,CAB,10-Sep-19,"Nick Jeffery, Ryan Stanley, Catalina Gomez"
Franks George Island,44.59499,-63.9453,FRK,26-Sep-19,"Nick Jeffery, Ryan Stanley, Kara Layton"
Lingan Bay,46.21729,-60.03896,LIN,11-Aug-23,"Courtney Trask, Tim Rawlings"
North River,46.288491,-60.609732,NOR,20-Aug-23,"Courtney Trask, Tim Rawlings"
East Bay,46.01364,-60.38929,ESB,23-Aug-23,"Courtney Trask, Tim Rawlings"
Mira River,46.047799,-60.006908,MIR,7-Oct-23,"Courtney Trask, Tim Rawlings"
Aspy Bay,46.90598,-60.46515,ASB,4-Sep-23,"Courtney Trask, Tim Rawlings"
Cheticamp,46.6155672,-61.0234355,CHT,30-Sep-23,"Courtney Trask, Tim Rawlings"
Chebogue,43.74303,-66.08322,CHB,9-Jun-23,"Nick Jeffery, Mallory Van Wyngaarden"
