Species,Taxonomic issues,Phylum,Subphylum/Class,Order,Family,Traditional,eDNA
"Ampharete finmarchica (M. Sars, 1865)",,Annelida,Polychaeta,,Ampharetidae ,X,
"Arenicola marina (Linnaeus, 1758)",,Annelida,Polychaeta,,Arenicolidae ,,X
"Capitella capitata (Fabricius, 1780)",,Annelida,Polychaeta,,Capitellidae,X,X
"Capitella teleta (Blake, Grassle & Eckelbarger, 2009)",,Annelida,Polychaeta,,Capitellidae,,X
"Heteromastus filiformis (Claparède, 1864)",,Annelida,Polychaeta,,Capitellidae,X,
"Mediomastus ambiseta (Hartman, 1947)",,Annelida,Polychaeta,,Capitellidae,X,
"Dysponetus pygmaeus, Levinsen, 1879",,Annelida,Polychaeta,,Chrysopetalidae ,X,
"Dodecaceria concharum, Örsted, 1843",,Annelida,Polychaeta,,Cirratulidae,X,X
"Tharyx acutus, Webster & Benedict, 1887",,Annelida,Polychaeta,,Cirratulidae ,X,
"Dinophilus gardineri (Moore, 1899)",,Annelida,Polychaeta,,Dinophilidae ,,X
"Schistomeringos longicornis (Ehlers, 1901)",,Annelida,Polychaeta,,Dorvilleidae,X,X
"Marycarmenia gaspeensis (Pettibone, 1961)",,Annelida,Polychaeta,,Dorvilleidae ,X,
"Fabricia stellaris (Müller, 1774)",,Annelida,Polychaeta,,Fabriciidae,X,
"Pherusa affinis (Leidy, 1855)",,Annelida,Polychaeta,,Flabelligeridae,X,X
"Glycera capitata, Örsted, 1842",,Annelida,Polychaeta,,Glyceridae ,X,
"Glycera dibranchiata, Ehlers, 1868",,Annelida,Polychaeta,,Glyceridae ,X,X
"Gyptis bruneli (Pettibone, 1961)",,Annelida,Polychaeta,,Hesionidae ,X,
"Gyptis vittata, Webster & Benedict, 188",,Annelida,Polychaeta,,Hesionidae ,X,
Lumbrineris,"Lumbrineris Blainville, 1828",Annelida,Polychaeta,,Lumbrineridae,X,
"Ninoe nigripes, Verrill, 1873",,Annelida,Polychaeta,,Lumbrineridae,X,X
"Scoletoma fragilis (O.F. Müller, 1776)",,Annelida,Polychaeta,,Lumbrineridae,X,
"Clymenella torquata (Leidy, 1855)",,Annelida,Polychaeta,,Maldanidae ,X,X
"Clymenella zonalis (Verrill, 1874)",taxon inquirendum (no reliable description yet found),Annelida,Polychaeta,,Maldanidae ,X,
"Sabaco elongatus (Verrill, 1873)",,Annelida,Polychaeta,,Maldanidae ,X,
Microphthalmus sp,"Microphthalmus Mecznikow, 1865",Annelida,Polychaeta,,Microphthalmidae ,X,
"Micronephthys neotena (Noyes, 1980)",,Annelida,Polychaeta,,Nephtyidae,X,
"Nephtys caeca (Fabricius, 1780)",,Annelida,Polychaeta,,Nephtyidae,X,
"Alitta succinea (Leuckart, 1847)",,Annelida,Polychaeta,,Nereididae,,X
"Alitta virens (M. Sars, 1835)",,Annelida,Polychaeta,,Nereididae,X,X
"Hediste diversicolor (O.F. Müller, 1776)",,Annelida,Polychaeta,,Nereididae,X,X
Nereis sp.,"Nereis Linnaeus, 1758 ",Annelida,Polychaeta,,Nereididae,X,
Platynereis sp.,"Platynereis Kinberg, 1865",Annelida,Polychaeta,,Nereididae,X,
Arabella iricolor,,Annelida,Polychaeta,,Oenonidae ,X,
Drilonereis sp.,,Annelida,Polychaeta,,Oenonidae ,X,
Ophelia sp,"Ophelia Savigny, 1822",Annelida,Polychaeta,,Opheliidae ,X,
"Ophelina acuminata, Örsted, 1843",,Annelida,Polychaeta,,Opheliidae ,X,
Scoloplos sp,"Scoloplos Blainville, 1828",Annelida,Polychaeta,,Orbiniidae,X,
Leitoscoloplos sp,"Leitoscoloplos Day, 1977",Annelida,Polychaeta,,Orbiniidae ,X,
"Aricidea catherinae, Laubier, 1967",,Annelida,Polychaeta,,Paraonidae ,X,
"Pectinaria gouldii (Verrill, 1873)",,Annelida,Polychaeta,,Pectinariidae,X,X
"Phyllodoce maculata (Linnaeus, 1767)",,Annelida,Polychaeta,,Phyllodocidae,X,
"Eteone longa (Fabricius, 1780)",,Annelida,Polychaeta,,Phyllodocidae ,X,
"Eulalia viridis (Linnaeus, 1767)",,Annelida,Polychaeta,,Phyllodocidae ,X,
"Eumida sanguinea (Örsted, 1843)",,Annelida,Polychaeta,,Phyllodocidae ,X,
"Hypereteone heteropoda (Hartman, 1951)",,Annelida,Polychaeta,,Phyllodocidae ,X,X
"Polygordius jouinae, Ramey, Fiege & Leander, 2006",,Annelida,Polychaeta,,Polygordiidae,,X
"Harmothoe extenuata (Grube, 1840)",,Annelida,Polychaeta,,Polynoidae,X,
