Phylum,Class,Order,Family,Genus,Species,aphiaID,species_filter,method
Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens,234851,alitta virens,both
Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,Amphitrite figulus,155162,amphitrite figulus,both
Annelida,Polychaeta,NA,Capitellidae,Capitella,Capitella capitata,129876,capitella capitata,both
Annelida,Polychaeta,NA,Maldanidae,Clymenella,Clymenella torquata,130279,clymenella torquata,both
Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria concharum,129967,dodecaceria concharum,both
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera dibranchiata,157392,glycera dibranchiata,both
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe imbricata,130769,harmothoe imbricata,both
Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diversicolor,152302,hediste diversicolor,both
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hypereteone,Hypereteone heteropoda,333652,hypereteone heteropoda,both
Annelida,Polychaeta,NA,Orbiniidae,Leitoscoloplos,Leitoscoloplos acutus,607421,leitoscoloplos acutus,both
Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus squamatus,130801,lepidonotus squamatus,both
Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,Marenzelleria viridis,131135,marenzelleria viridis,both
Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,Ninoe nigripes,130255,ninoe nigripes,both
Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria,Pectinaria gouldii,334421,pectinaria gouldi,both
Annelida,Polychaeta,Terebellida,Flabelligeridae,Pherusa,Pherusa affinis,157526,pherusa affinis,both
Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,Pholoe minuta,130603,pholoe minuta,both
Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Polycirrus eximius,157533,polycirrus eximius,both
Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,131143,polydora cornuta,both
Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos longicornis,334731,schistomeringos longicornis,both
Annelida,Polychaeta,Spionida,Spionidae,Streblospio,Streblospio benedicti,131191,streblospio benedicti,both
Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta succinea,234850,alitta succinea,edna
Annelida,Clitellata,Tubificida,Naididae,Amphichaeta,Amphichaeta sannio,137477,amphichaeta sannio,edna
Annelida,Polychaeta,NA,Arenicolidae,Arenicola,Arenicola marina,129868,arenicola marina,edna
Annelida,Polychaeta,NA,Capitellidae,Capitella,Capitella teleta,592089,capitella teleta,edna
Annelida,Clitellata,Tubificida,Naididae,Clitellio,NA,137385,clitellio,edna
Annelida,Clitellata,Tubificida,Naididae,Clitellio,Clitellio arenarius,1070860,clitellio arenarius,edna
Annelida,Polychaeta,NA,Dinophilidae,Dinophilus,Dinophilus gardineri,326922,dinophilus gardineri,edna
Annelida,Clitellata,Enchytraeida,Enchytraeidae,Lumbricillus,Lumbricillus lineatus,137438,lumbricillus lineatus,edna
Annelida,Clitellata,Enchytraeida,Enchytraeidae,Lumbricillus,Lumbricillus rivalis,137449,lumbricillus rivalis,edna
Annelida,Polychaeta,Terebellida,Terebellidae,Nicolea,Nicolea zostericola,131508,nicolea zostericola,edna
Annelida,Clitellata,Tubificida,Naididae,Paranais,Paranais botniensis,137483,paranais botniensis,edna
Annelida,Clitellata,Tubificida,Naididae,Paranais,Paranais litoralis,137485,paranais litoralis,edna
Annelida,Polychaeta,Sabellida,Sabellidae,Parasabella,Parasabella microphthalma,530927,parasabella microphthalma,edna
Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora onagawaensis,1611501,polydora onagawaensis,edna
Annelida,Polychaeta,NA,Polygordiidae,Polygordius,Polygordius jouinae,390168,polygordius jouinae,edna
Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,Pseudopolydora paucibranchiata,131168,pseudopolydora paucibranchiata,edna
Annelida,Clitellata,Tubificida,Naididae,Tubificoides,Tubificoides benedii,137571,tubificoides benedii,edna
Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,Ampharete finmarchica,129778,ampharete finmarchica,traditional
Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,NA,129686,amphitrite,traditional
Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,Arabella iricolor,129854,arabella iricolor,traditional
Annelida,Polychaeta,NA,Paraonidae,Aricidea,Aricidea catherinae,130554,aricidea catherinae,traditional
Annelida,Polychaeta,Sabellida,Serpulidae,Circeis,Circeis spirillum,131201,circeis spirillum,traditional
Annelida,Polychaeta,NA,Maldanidae,Clymenella,Clymenella zonalis,157320,clymenella zonalis,traditional
