"AphiaID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Detection"
234850,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta succinea","eDNA"
137477,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Amphichaeta","Amphichaeta sannio","eDNA"
129868,"Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicola","Arenicola marina","eDNA"
592089,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella teleta","eDNA"
1070860,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Clitellio","Clitellio arenarius","eDNA"
326922,"Animalia","Annelida","Polychaeta",NA,"Dinophilidae","Dinophilus","Dinophilus gardineri","eDNA"
137438,"Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Lumbricillus","Lumbricillus lineatus","eDNA"
137449,"Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Lumbricillus","Lumbricillus rivalis","eDNA"
131508,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Nicolea","Nicolea zostericola","eDNA"
137483,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Paranais","Paranais botniensis","eDNA"
137485,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Paranais","Paranais litoralis","eDNA"
530927,"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Parasabella","Parasabella microphthalma","eDNA"
157533,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Polycirrus eximius","eDNA"
1611501,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora onagawaensis","eDNA"
390168,"Animalia","Annelida","Polychaeta",NA,"Polygordiidae","Polygordius","Polygordius jouinae","eDNA"
334675,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","Pseudopolydora bassarginensis","eDNA"
131168,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","Pseudopolydora paucibranchiata","eDNA"
137571,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Tubificoides","Tubificoides benedii","eDNA"
234851,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta virens","Shared"
129876,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella capitata","Shared"
130279,"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella torquata","Shared"
129967,"Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Dodecaceria","Dodecaceria concharum","Shared"
157392,"Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera dibranchiata","Shared"
130769,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe imbricata","Shared"
152302,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Hediste","Hediste diversicolor","Shared"
333652,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Hypereteone","Hypereteone heteropoda","Shared"
130801,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus squamatus","Shared"
131135,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","Marenzelleria viridis","Shared"
131504,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite","Neoamphitrite figulus","Shared"
130255,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Ninoe","Ninoe nigripes","Shared"
334421,"Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Pectinaria","Pectinaria gouldii","Shared"
157526,"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Pherusa","Pherusa affinis","Shared"
130603,"Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","Pholoe minuta","Shared"
131143,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora cornuta","Shared"
334731,"Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos longicornis","Shared"
131191,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Streblospio","Streblospio benedicti","Shared"
129778,"Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete","Ampharete finmarchica","Traditional"
129686,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitrite",NA,"Traditional"
129854,"Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella iricolor","Traditional"
130554,"Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea","Aricidea catherinae","Traditional"
131201,"Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Circeis","Circeis spirillum","Traditional"
157320,"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella zonalis","Traditional"
